Ngày,Địa chỉ,Quận,Huyện,Giá,Diện tích,Giá/m²,Số tầng,Số phòng ngủ,Dài,Rộng,Loại hình nhà ở,Giấy tờ pháp lý
2023-01-01,Address 0,Tây Hồ,Đống Đa,1339604759.9348624,179.23111328584693,55242512.98932855,2.0,4,5.287518312874667,3.499728268079764,Biệt thự,Hợp đồng mua bán
2023-01-02,Address 1,Hai Bà Trưng,Hoàn Kiếm,19766725404.9846,179.52891534175996,97696876.7513514,1.0,2,11.479840571951613,12.967629176233071,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-01-03,Address 2,Cầu Giấy,Đống Đa,9127689540.981384,177.99833225782118,132592432.36951989,2.0,1,5.495179038504909,9.855996059663143,Nhà mặt phố,Hợp đồng mua bán
2023-01-04,Address 3,Tây Hồ,Ba Đình,8302206296.033952,70.59535593486169,143075384.76004142,4.0,3,19.309051287896132,10.28966104690283,Nhà mặt phố,Sổ đỏ/ Sổ hồng
2023-01-05,Address 4,Đống Đa,Ba Đình,13913298371.168327,106.71068851076798,33767754.572488494,4.0,2,8.148770686220772,9.277896009671792,Unknown,Sổ đỏ/ Sổ hồng
2023-01-06,Address 5,Cầu Giấy,Ba Đình,5146823869.436219,197.44824154394877,40127719.63770358,4.0,1,16.833905359233192,13.493701239403709,Nhà riêng,Hợp đồng mua bán
2023-01-07,Address 6,Cầu Giấy,Hai Bà Trưng,19049262495.054283,161.24212097269836,142815713.64180034,1.0,5,16.618581247615474,3.5212002868276495,Nhà riêng,Hợp đồng mua bán
2023-01-08,Address 7,Tây Hồ,Hoàn Kiếm,15940555273.895489,34.61846160834517,115749579.68352303,5.0,3,8.265933495244003,6.132340698430177,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-01-09,Address 8,Hoàn Kiếm,Hai Bà Trưng,2698809043.932931,41.08478051428365,134789197.2278705,2.0,5,14.31839795720251,13.509150466309864,Nhà riêng,Sổ đỏ/ Sổ hồng
2023-01-10,Address 9,Đống Đa,Ba Đình,8934034739.91364,108.86833405809656,46342242.43759461,4.0,1,5.721184527296753,12.028148430383471,Nhà riêng,Hợp đồng mua bán
